Ano	Autor	CodigodoPPG	Idioma	Orientador
2018	PASQUELINE DANTAS SCAICO	25001019004P6	PORTUGUES	RUY JOSE GUERRA BARRETTO DE QUEIROZ
2017	ANDERSON DA SILVA MARTINS	42003016038P9	PORTUGUES	BRUNO ZATT
2017	RUBENS LACERDA QUEIROZ	31001017110P8	PORTUGUES	FABIO FERRENTINI SAMPAIO
2018	EDUARDO ALEXANDRE FERREIRA SILVA	23001011022P9	PORTUGUES	THAIS VASCONCELOS BATISTA
2017	FABIO FRANCO DE OLIVEIRA	30001013007P0	PORTUGUES	RODOLFO DA SILVA VILLACA
2018	RANIERE FERNANDES DE MEDEIROS	24001015047P4	PORTUGUES	CLAUIRTON DE ALBUQUERQUE SIEBRA
2018	FABIO NOGUEIRA DE SOUZA	25001019004P6	PORTUGUES	NELSON SOUTO ROSA
2020	MARCELO ROSAS ALVES	25001019062P6	PORTUGUES	SIMONE CRISTIANE DOS SANTOS LIMA
2020	OSMARIO DE CARVALHO SANTOS FILHO	25001019062P6	PORTUGUES	SIMONE CRISTIANE DOS SANTOS LIMA
2020	EVARISTO CALISTO NHASSENGO	33002045004P1	PORTUGUES	JOSE ALBERTO CUMINATO
2018	JAIRO MATHEUS VILACA ALVES	25001019004P6	PORTUGUES	DJAMEL FAWZI HADJ SADOK
2018	MARCIO VINICIUS DE QUEIROZ SANTOS	31021018009P9	PORTUGUES	SIDNEY CUNHA DE LUCENA
2019	ARLINDO RODRIGUES GALVAO FILHO	51001012028P6	PORTUGUES	TELMA WOERLE DE LIMA SOARES
2017	CRISTOVAM DERVALMAR RODRIGUES TEIXEIRA FILHO	20002017004P9	PORTUGUES	IVANILDO SILVA ABREU
2020	EDUARDO KAZUO NAKAO	33001014008P4	PORTUGUES	ALEXANDRE LUIS MAGALHAES LEVADA
2020	JOAO PEDRO SCHMITT	41002016023P2	PORTUGUES	FABIANO BALDO
2020	HECTOR NATAN BATISTA PINHEIRO	25001019004P6	PORTUGUES	TSANG ING REN
2020	LEONARDO FERNANDES MENDONCA DE OLIVEIRA	25001019004P6	INGLES	ANDRE LUIS DE MEDEIROS SANTOS
