Instituicao	Programa	Nivel	Sigla	TemDoutorado	Nome	AreadeAvaliacao
UNIVERSIDADE FEDERAL DE VICOSA	32002017027P2	4	UFV-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE UBERLANDIA	32006012017P2	4	UFU-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE SAO CARLOS	33001014008P4	4	UFSCAR-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE DE SAO PAULO	33002010176P0	6	USP-CC-6	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE DE SAO PAULO (SAO CARLOS)	33002045004P1	7	USP-SC-CCMC-7	SIM	CIENCIAS DA COMPUTACAO E MATEMATICA COMPUTACIONAL	CIENCIA DA COMPUTACAO
UNIVERSIDADE ESTADUAL DE CAMPINAS	33003017005P8	7	UNICAMP-CC-7	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO PARANA	40001016034P5	5	UFPR-I-5	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA	40003019004P1	5	PUC-PR-I-5	SIM	Informatica	CIENCIA DA COMPUTACAO
UNIVERSIDADE ESTADUAL DE MARINGA	40004015019P5	4	UEM-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE SANTA CATARINA	41001010025P2	5	UFSC-CC-5	SIM	CIENCIAS DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	42001013004P4	7	UFRGS-C-7	SIM	COMPUTACAO	CIENCIA DA COMPUTACAO
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	42005019016P8	6	PUC-RS-CC-6	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE DO VALE DO RIO DOS SINOS	42007011006P5	4	UNISINOS-CA-4	SIM	COMPUTACAO APLICADA	CIENCIA DA COMPUTACAO
FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	51001012012P2	4	UFMS-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE GOIAS	52001016027P2	4	UFG-CC-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE DE BRASILIA	53001010054P6	5	UNB-I-5	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS	32008015011P7	4	PUC-MG-I-4	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO PARA	15001016047P9	4	UFPA-CCD-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DE PERNAMBUCO	25001019062P6	4	UFPE-CC-4	NAO	CIENCIAS DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO ( SAO JOSE DO RIO PRETO )	33004153073P2	4	UNESP-SJRP-CA-4	SIM	CIENCIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DA PARAIBA ( JOAO PESSOA )	24001015047P4	4	UFPB-JP-I-4	NAO	INFORMATICA	CIENCIA DA COMPUTACAO
UNIVERSIDADE SALVADOR	28013018005P5	3	UNIFACS-SC-3	NAO	SISTEMAS E COMPUTACAO	CIENCIA DA COMPUTACAO
UNIVERSIDADE ESTADUAL DO CEARA	22003010016P9	2	UECE-CA-2	NAO	COMPUTACAO APLICADA	CIENCIA DA COMPUTACAO
UNIVERSIDADE DE PERNAMBUCO	25004018011P1	4	UPE-EC-4	SIM	ENGENHARIA DA COMPUTACAO	CIENCIA DA COMPUTACAO
CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE (PE)	25019015001P0	4	CESAR-ES-4	NAO	ENGENHARIA DE SOFTWARE	CIENCIA DA COMPUTACAO
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO	31021018009P9	4	UNIRIO-DI-4	SIM	INFORMATICA	CIENCIA DA COMPUTACAO
